candidate,scenario_id,profit_yuan
q3b_medium,0,41166657.799752
q3b_medium,1,40723023.718474
q3b_medium,2,41013298.273744
q3b_medium,3,40982936.297727
q3b_medium,4,41082309.077982
q3b_medium,5,41744286.715586
q3b_medium,6,41348434.979086
q3b_medium,7,41053143.362303
q3b_medium,8,41055401.491279
q3b_medium,9,41480784.422872
q3b_medium,10,41308913.612771
q3b_medium,11,40771536.828514
q3b_medium,12,41158453.600346
q3b_medium,13,40795118.304928
q3b_medium,14,41081358.279586
q3b_medium,15,40499092.417755
q3b_medium,16,41180990.495223
q3b_medium,17,41192557.519384
q3b_medium,18,41199134.579428
q3b_medium,19,40804489.361654
q3b_medium,20,41396876.650985
q3b_medium,21,41074824.119867
q3b_medium,22,41026397.361083
q3b_medium,23,41144085.393809
q3b_medium,24,41235466.154157
q3b_medium,25,41059889.36802
q3b_medium,26,41038103.525733
q3b_medium,27,40710802.826827
q3b_medium,28,40951002.241427
q3b_medium,29,41247050.265516
q3b_medium,30,41074945.698485
q3b_medium,31,41060919.936648
q3b_medium,32,41382273.175806
q3b_medium,33,40933515.11865
q3b_medium,34,41320284.657075
q3b_medium,35,40960034.193414
q3b_medium,36,41093124.828294
q3b_medium,37,41284414.704094
q3b_medium,38,41058958.867753
q3b_medium,39,41191135.872735
q3b_medium,40,41167215.381037
q3b_medium,41,40712928.309339
q3b_medium,42,41491318.158658
q3b_medium,43,41279704.707781
q3b_medium,44,40424801.663369
q3b_medium,45,41308447.4972
q3b_medium,46,40919776.661677
q3b_medium,47,41239339.107104
q3b_medium,48,41073597.173795
q3b_medium,49,41444620.596525
q3b_medium,50,41113630.911088
q3b_medium,51,41385268.239136
q3b_medium,52,41130043.547336
q3b_medium,53,40741884.106084
q3b_medium,54,41194473.77637
q3b_medium,55,41043949.769393
q3b_medium,56,41413976.195863
q3b_medium,57,41393331.850074
q3b_medium,58,41113029.722625
q3b_medium,59,40809131.564202
q3b_medium,60,41362676.625237
q3b_medium,61,40773320.991354
q3b_medium,62,41086657.652448
q3b_medium,63,40812877.557078
q3b_medium,64,41341050.510421
q3b_medium,65,40527732.148247
q3b_medium,66,40795314.280239
q3b_medium,67,41040334.854144
q3b_medium,68,40930406.453115
q3b_medium,69,41075200.667623
q3b_medium,70,41273271.638608
q3b_medium,71,41106698.444218
q3b_medium,72,41000086.335303
q3b_medium,73,40671610.744828
q3b_medium,74,41104225.475961
q3b_medium,75,41686481.564443
q3b_medium,76,41057786.916073
q3b_medium,77,41007627.182363
q3b_medium,78,41050614.113788
q3b_medium,79,40922848.383804
q3b_medium,80,40787882.397735
q3b_medium,81,40518317.489202
q3b_medium,82,41284300.982622
q3b_medium,83,41806818.737503
q3b_medium,84,40610045.780313
q3b_medium,85,41610350.009638
q3b_medium,86,40867520.234681
q3b_medium,87,40913043.69642
q3b_medium,88,41138974.34213
q3b_medium,89,40682424.188189
q3b_medium,90,41189537.294083
q3b_medium,91,41068175.153069
q3b_medium,92,41082145.654492
q3b_medium,93,41033744.4798
q3b_medium,94,41517275.782973
q3b_medium,95,40766152.489802
q3b_medium,96,40633846.761582
q3b_medium,97,41227257.600341
q3b_medium,98,41200666.856112
q3b_medium,99,40617061.043474
