candidate,scenario_id,profit_yuan
q3a_medium,0,40914116.960967
q3a_medium,1,40590442.49112
q3a_medium,2,40889544.871176
q3a_medium,3,40850479.343349
q3a_medium,4,41022355.727884
q3a_medium,5,41341150.180057
q3a_medium,6,41180013.438478
q3a_medium,7,40781382.513104
q3a_medium,8,40845554.329141
q3a_medium,9,41229319.416703
q3a_medium,10,41316560.617115
q3a_medium,11,40492732.68532
q3a_medium,12,40868577.205448
q3a_medium,13,40712277.480376
q3a_medium,14,40832188.624893
q3a_medium,15,40391054.936129
q3a_medium,16,40955355.86453
q3a_medium,17,40993189.142208
q3a_medium,18,40992918.650604
q3a_medium,19,40683790.589499
q3a_medium,20,41183158.0342
q3a_medium,21,40960227.253428
q3a_medium,22,40805466.65828
q3a_medium,23,40972566.050222
q3a_medium,24,41009116.102226
q3a_medium,25,40913059.92506
q3a_medium,26,40790511.719491
q3a_medium,27,40623253.1904
q3a_medium,28,40667271.369036
q3a_medium,29,41083769.59894
q3a_medium,30,40911630.093419
q3a_medium,31,40658587.717992
q3a_medium,32,41215099.118808
q3a_medium,33,40818140.628054
q3a_medium,34,41017483.246762
q3a_medium,35,40710631.35217
q3a_medium,36,40891811.665661
q3a_medium,37,40848646.006686
q3a_medium,38,40879631.087559
q3a_medium,39,40807592.792582
q3a_medium,40,40887936.293729
q3a_medium,41,40651028.105884
q3a_medium,42,41193781.01634
q3a_medium,43,41051174.491077
q3a_medium,44,40354379.055798
q3a_medium,45,41141380.397746
q3a_medium,46,40617060.515953
q3a_medium,47,41126040.481211
q3a_medium,48,40778071.577517
q3a_medium,49,41134349.205811
q3a_medium,50,40948060.494105
q3a_medium,51,41111700.460394
q3a_medium,52,40962085.451187
q3a_medium,53,40705553.28359
q3a_medium,54,40926873.509252
q3a_medium,55,40930499.587441
q3a_medium,56,41157489.883812
q3a_medium,57,41065675.630377
q3a_medium,58,40925711.331089
q3a_medium,59,40471216.455296
q3a_medium,60,41193584.836945
q3a_medium,61,40747256.063228
q3a_medium,62,40939801.401232
q3a_medium,63,40501048.111891
q3a_medium,64,40970454.169368
q3a_medium,65,40488139.611995
q3a_medium,66,40649659.714332
q3a_medium,67,40749526.839461
q3a_medium,68,40846637.447318
q3a_medium,69,40935410.276748
q3a_medium,70,41006780.014154
q3a_medium,71,40943166.517474
q3a_medium,72,40892594.413564
q3a_medium,73,40617855.460067
q3a_medium,74,40960340.352155
q3a_medium,75,41290934.826948
q3a_medium,76,40608501.921337
q3a_medium,77,40915781.167988
q3a_medium,78,40729716.057422
q3a_medium,79,40801405.338429
q3a_medium,80,40773242.203096
q3a_medium,81,40435296.822704
q3a_medium,82,41182399.962656
q3a_medium,83,41334348.849934
q3a_medium,84,40270773.188138
q3a_medium,85,41425074.60631
q3a_medium,86,40821817.39641
q3a_medium,87,40716310.953421
q3a_medium,88,40818421.020699
q3a_medium,89,40470360.875034
q3a_medium,90,41093575.356188
q3a_medium,91,40801863.967609
q3a_medium,92,40939152.777741
q3a_medium,93,40757895.668319
q3a_medium,94,41247473.420649
q3a_medium,95,40675484.91318
q3a_medium,96,40612372.719979
q3a_medium,97,40958962.587675
q3a_medium,98,40950596.397943
q3a_medium,99,40552996.63204
