candidate,scenario_id,profit_yuan
lambda_050,0,41299425.355158
lambda_050,1,41302506.026149
lambda_050,2,41316320.701002
lambda_050,3,41409742.133391
lambda_050,4,41050605.178921
lambda_050,5,41412812.212666
lambda_050,6,41086598.645944
lambda_050,7,40859170.411147
lambda_050,8,41332273.174292
lambda_050,9,41266160.696442
lambda_050,10,41274080.178607
lambda_050,11,41280759.222221
lambda_050,12,41004609.205017
lambda_050,13,41327169.451532
lambda_050,14,41231171.43425
lambda_050,15,41035510.863405
lambda_050,16,40783931.833459
lambda_050,17,40974084.54191
lambda_050,18,41620477.038678
lambda_050,19,41137512.040787
lambda_050,20,41216298.575924
lambda_050,21,41527999.825465
lambda_050,22,41234896.047354
lambda_050,23,41078885.205291
lambda_050,24,40998226.495605
lambda_050,25,41147816.786554
lambda_050,26,41343207.441305
lambda_050,27,41461431.620505
lambda_050,28,40980310.230321
lambda_050,29,41172162.88183
lambda_050,30,40974630.996404
lambda_050,31,40797115.118147
lambda_050,32,41005376.07409
lambda_050,33,40979821.492167
lambda_050,34,41166908.380773
lambda_050,35,41512766.07709
lambda_050,36,41023946.248137
lambda_050,37,41099135.98683
lambda_050,38,41206072.559341
lambda_050,39,40785381.481218
lambda_050,40,41103407.27381
lambda_050,41,41169802.414615
lambda_050,42,40879843.334924
lambda_050,43,41356505.78747
lambda_050,44,41252013.528145
lambda_050,45,40943738.837557
lambda_050,46,41219333.23132
lambda_050,47,41130516.392885
lambda_050,48,41329050.836658
lambda_050,49,41338599.272691
lambda_050,50,41120713.70099
lambda_050,51,41245422.911394
lambda_050,52,41112543.569107
lambda_050,53,41280787.993866
lambda_050,54,41312572.364888
lambda_050,55,40915448.405621
lambda_050,56,40878051.49696
lambda_050,57,41173847.243975
lambda_050,58,40808443.263369
lambda_050,59,40886070.103086
lambda_050,60,41200215.700012
lambda_050,61,41400847.159501
lambda_050,62,41316719.849179
lambda_050,63,41354737.31903
lambda_050,64,41217603.004894
lambda_050,65,41094022.080437
lambda_050,66,41374323.525514
lambda_050,67,40851860.218975
lambda_050,68,41233557.351935
lambda_050,69,41203642.097024
lambda_050,70,40991731.796112
lambda_050,71,41384594.679829
lambda_050,72,40946429.780829
lambda_050,73,41444489.655451
lambda_050,74,41274404.193606
lambda_050,75,41180420.077708
lambda_050,76,40870242.847324
lambda_050,77,41156332.088267
lambda_050,78,40952195.382291
lambda_050,79,41380622.681562
lambda_050,80,41315044.116625
lambda_050,81,41295609.111334
lambda_050,82,41544948.915484
lambda_050,83,41239395.334363
lambda_050,84,41146969.912974
lambda_050,85,41147277.431964
lambda_050,86,40987198.871754
lambda_050,87,41393391.765452
lambda_050,88,41003234.451375
lambda_050,89,41175282.075626
lambda_050,90,41350785.054531
lambda_050,91,41163992.59069
lambda_050,92,40939602.005923
lambda_050,93,41064505.702904
lambda_050,94,41134093.058291
lambda_050,95,41018154.717248
lambda_050,96,41199622.995082
lambda_050,97,40956268.623083
lambda_050,98,41162422.38454
lambda_050,99,41145871.190235
