scenario_set,parameter,year,minimum,p05,mean,p95,maximum
mean,demand,2024,810.0,954.0,27303.70744681,129894.375,183653.0
mean,demand,2025,810.0,954.0,27824.49348404,135000.0,197426.975
mean,demand,2026,810.0,954.0,28384.33847407,135000.0,212233.998125
mean,demand,2027,810.0,954.0,28986.17183835,135000.0,228151.54798437
mean,demand,2028,810.0,954.0,29633.14270495,135000.0,245262.9140832
mean,demand,2029,810.0,954.0,30328.63638654,135000.0,263657.63263944
mean,demand,2030,810.0,954.0,31076.29209426,135000.0,283431.9550874
mean,yield,2024,100.0,360.0,3307.36,10800.0,15000.0
mean,yield,2025,100.0,360.0,3307.36,10800.0,15000.0
mean,yield,2026,100.0,360.0,3307.36,10800.0,15000.0
mean,yield,2027,100.0,360.0,3307.36,10800.0,15000.0
mean,yield,2028,100.0,360.0,3307.36,10800.0,15000.0
mean,yield,2029,100.0,360.0,3307.36,10800.0,15000.0
mean,yield,2030,100.0,360.0,3307.36,10800.0,15000.0
mean,cost,2024,367.5,367.5,1882.524,4042.5,10500.0
mean,cost,2025,385.875,385.875,1976.6502,4244.625,11025.0
mean,cost,2026,405.16875,405.16875,2075.48271,4456.85625,11576.25
mean,cost,2027,425.4271875,425.4271875,2179.2568455,4679.6990625,12155.0625
mean,cost,2028,446.69854688,446.69854688,2288.21968778,4913.68401563,12762.815625
mean,cost,2029,469.03347422,469.03347422,2402.63067216,5159.36821641,13400.95640625
mean,cost,2030,492.48514793,492.48514793,2522.76220577,5417.33662723,14071.00422656
mean,price,2024,1.5,2.9625,9.3575,20.587,95.0
mean,price,2025,1.5,2.975625,9.44079025,20.08939,90.25
mean,price,2026,1.5,2.98940625,9.5399457,19.6067083,85.7375
mean,price,2027,1.5,3.03876563,9.65524756,19.13850705,81.450625
mean,price,2028,1.5,3.19070391,9.78701452,18.68435184,77.37809375
mean,price,2029,1.5,3.25,9.93560353,18.24382128,73.50918906
mean,price,2030,1.5,3.25,10.10141063,17.81650665,69.83372961
optimization_100,demand,2024,770.38164572,884.46355428,27305.00379809,143290.92317032,187913.74673691
optimization_100,demand,2025,769.56395559,880.07138554,27825.05004173,150557.46476547,205695.45217777
optimization_100,demand,2026,769.83261262,895.41850907,28358.20709057,151566.54873772,222967.58843952
optimization_100,demand,2027,769.82397846,883.96962792,28962.01911295,151416.15906917,241977.68763226
optimization_100,demand,2028,769.57899913,886.36671802,29595.20114346,151079.3373003,263582.31157082
optimization_100,demand,2029,769.84400177,883.76418852,30295.59195148,152054.26899683,284537.97739631
optimization_100,demand,2030,769.99466201,884.62686934,31030.7835018,153379.32128609,312444.39693205
optimization_100,yield,2024,90.51005064,343.61714532,3308.04417238,11016.46215205,16499.5027462
optimization_100,yield,2025,90.19652774,343.95730476,3306.34297867,11033.82154683,16435.4872185
optimization_100,yield,2026,90.22452255,346.157822,3308.3874515,10990.35922641,16482.29014725
optimization_100,yield,2027,90.13975429,345.46263516,3305.0828722,10942.82342784,16430.82495199
optimization_100,yield,2028,90.00318394,345.20543681,3314.36602186,11042.40469959,16494.52638814
optimization_100,yield,2029,90.06658352,345.65430042,3307.01315466,11004.06630622,16493.29876943
optimization_100,yield,2030,90.01147996,345.24104236,3305.85662435,10991.08324417,16492.61822271
optimization_100,cost,2024,364.17361114,367.13213875,1882.48653093,4061.76577207,10594.10534752
